label,Genefamily,Value
Desmodus rotundus,OG0000054,none
46,OG0000054,none
Gorilla gorilla,OG0000054,none
24,OG0000054,none
Tupaia chinensis,OG0000054,none
36,OG0000054,none
64,OG0000054,increased
Nannosplalax galili,OG0000054,none
Elephas maximus,OG0000054,none
71,OG0000054,increased
47,OG0000054,none
Choloepus didactylus,OG0000054,none
72,OG0000054,decreased
Sarcophilus harrisi,OG0000054,none
Ornithorhynchus anatinus,OG0000054,none
MRCA,OG0000054,none
Rana temporaria,OG0000054,decreased
20,OG0000054,decreased
Nanorana parkeri,OG0000054,none
32,OG0000054,decreased
Bufo bufo,OG0000054,decreased
44,OG0000054,none
Leptobrachium leishanense,OG0000054,decreased
33,OG0000054,increased
Spea bombifrons,OG0000054,increased
52,OG0000054,none
Xenopus Tropicalis,OG0000054,increased
45,OG0000054,increased
62,OG0000054,increased
Xenopus Laevis,OG0000054,decreased
70,OG0000054,none
Bombina bombina,OG0000054,decreased
Pleurodeles waltl,OG0000054,decreased
74,OG0000054,increased
Microcaecilia unicolor,OG0000054,increased
56,OG0000054,none
Geotrypetes seraphini,OG0000054,decreased
66,OG0000054,none
Rhinatrema bivittatum,OG0000054,increased
Aquila chrysaetos,OG0000056,none
3,OG0000056,none
Taeniopygia guttata,OG0000056,decreased
7,OG0000056,none
Nipponia nippon,OG0000056,decreased
11,OG0000056,none
Rissa tridactyla,OG0000056,increased
19,OG0000056,none
Cuculus canorus,OG0000056,increased
10,OG0000056,none
29,OG0000056,none
Apus apus,OG0000056,increased
41,OG0000056,none
Columbalivia,OG0000056,decreased
Numida meleagris,OG0000056,none
48,OG0000056,none
Dromaius novaehollandiae,OG0000056,none
58,OG0000056,none
Alligator mississippiensis,OG0000056,decreased
68,OG0000056,increased
Gopherus evgoodei,OG0000056,decreased
Varanus komodoensis,OG0000056,decreased
43,OG0000056,none
73,OG0000056,decreased
Pogona vitticeps,OG0000056,none
51,OG0000056,none
Pseudonaja textilis,OG0000056,none
61,OG0000056,decreased
Eublepharis macularius,OG0000056,none
69,OG0000056,none
Sphenodon punctatus,OG0000056,increased
75,OG0000056,decreased
Sus scrofa,OG0000056,decreased
17,OG0000056,none
Balaenoptera musculus,OG0000056,increased
26,OG0000056,none
Ceratotherium simum,OG0000056,increased
37,OG0000056,none
Desmodus rotundus,OG0000056,increased
46,OG0000056,none
Gorilla gorilla,OG0000056,none
24,OG0000056,none
Tupaia chinensis,OG0000056,decreased
36,OG0000056,none
64,OG0000056,increased
Nannosplalax galili,OG0000056,decreased
Elephas maximus,OG0000056,none
71,OG0000056,increased
47,OG0000056,none
Choloepus didactylus,OG0000056,increased
72,OG0000056,none
Sarcophilus harrisi,OG0000056,decreased
Ornithorhynchus anatinus,OG0000056,increased
MRCA,OG0000056,none
Rana temporaria,OG0000056,none
20,OG0000056,decreased
Nanorana parkeri,OG0000056,decreased
32,OG0000056,none
Bufo bufo,OG0000056,increased
44,OG0000056,none
Leptobrachium leishanense,OG0000056,decreased
33,OG0000056,increased
Spea bombifrons,OG0000056,increased
52,OG0000056,none
Xenopus Tropicalis,OG0000056,decreased
45,OG0000056,decreased
62,OG0000056,increased
Xenopus Laevis,OG0000056,increased
70,OG0000056,increased
Bombina bombina,OG0000056,decreased
Pleurodeles waltl,OG0000056,increased
74,OG0000056,increased
Microcaecilia unicolor,OG0000056,increased
56,OG0000056,none
Geotrypetes seraphini,OG0000056,none
66,OG0000056,decreased
Rhinatrema bivittatum,OG0000056,decreased
Aquila chrysaetos,OG0000058,none
3,OG0000058,none
Taeniopygia guttata,OG0000058,none
7,OG0000058,none
Nipponia nippon,OG0000058,none
11,OG0000058,none
Rissa tridactyla,OG0000058,none
19,OG0000058,none
Cuculus canorus,OG0000058,none
10,OG0000058,none
29,OG0000058,none
Apus apus,OG0000058,none
41,OG0000058,none
Columbalivia,OG0000058,none
Numida meleagris,OG0000058,none
48,OG0000058,decreased
Dromaius novaehollandiae,OG0000058,none
58,OG0000058,none
Alligator mississippiensis,OG0000058,increased
68,OG0000058,none
Gopherus evgoodei,OG0000058,decreased
Varanus komodoensis,OG0000058,decreased
43,OG0000058,none
73,OG0000058,none
Pogona vitticeps,OG0000058,increased
51,OG0000058,none
Pseudonaja textilis,OG0000058,none
61,OG0000058,increased
